or,opt_time,pes_time,opt_minutes,pes_minutes,neighborhood,title,rent,bedrooms,pid,date,link,sqft,sourcepage,longitude,latitude,rent_sqft,region,index
38.099797+-122.614117,2939.0,4835.0,48.983333333333334,80.58333333333333,novato,"PENDING! Spacious Home On 1/3 Acre, Nice Features --PRANDI",3150.0,4.0,4477659727.0,2014-05-27,http://sfbay.craigslist.org/nby/apa/4477659727.html,1740.0,http://sfbay.craigslist.org/apa/index3800.html,-122.614117,38.099797,1.8103448275862069,sfbay,49
37.575206+-122.338726,1868.0,3593.0,31.133333333333333,59.88333333333333,san mateo,Spacious 3BR 2 BA Coming Soon,2975.0,3.0,4528370806.0,2014-06-19,http://sfbay.craigslist.org/pen/apa/4528370806.html,NA,http://sfbay.craigslist.org/apa/index2800.html,-122.338726,37.575206,NA,sfbay,50
37.345779+-121.994606,3275.0,5353.0,54.583333333333336,89.21666666666667,santa clara,Beautiful Water View ? Pictures Say over 1000 Words,2135.0,1.0,4530935148.0,2014-06-20,http://sfbay.craigslist.org/sby/apa/4530935148.html,750.0,http://sfbay.craigslist.org/apa/index400.html,-121.994606,37.345779,2.8466666666666667,sfbay,51
37.345779+-121.994606,3275.0,5353.0,54.583333333333336,89.21666666666667,santa clara,Beautiful Water View ? Pictures Say over 1000 Words,2140.0,1.0,4546296388.0,2014-06-30,http://sfbay.craigslist.org/sby/apa/4546296388.html,750.0,http://sfbay.craigslist.org/apa/index2800.html,-121.994606,37.345779,2.8533333333333335,sfbay,922
37.9724+-122.3369,1877.0,3281.0,31.283333333333335,54.68333333333333,"hercules, pinole, san pablo, el sob",1 Remodel Bedroom with Private Backyard,NA,NA,4491130713.0,2014-05-27,http://sfbay.craigslist.org/eby/apa/4491130713.html,NA,http://sfbay.craigslist.org/apa/index1400.html,-122.3369,37.9724,NA,sfbay,52
37.9724+-122.3369,1877.0,3281.0,31.283333333333335,54.68333333333333,richmond / point / annex,Lovely large one bedroom apartment!,1590.0,1.0,4529144386.0,2014-06-19,http://sfbay.craigslist.org/eby/apa/4529144386.html,742.0,http://sfbay.craigslist.org/apa/index700.html,-122.3369,37.9724,2.142857142857143,sfbay,504
37.277417+-121.952354,3611.0,5600.0,60.18333333333333,93.33333333333333,campbell,"Cute & Spacious 1BD/1BD, 1st Floor w/Private Patio!!",1770.0,1.0,4565593512.0,2014-07-12,http://sfbay.craigslist.org/sby/apa/4565593512.html,550.0,http://sfbay.craigslist.org/apa/index1800.html,-121.952354,37.277417,3.2181818181818183,sfbay,53
37.277417+-121.952354,3611.0,5600.0,60.18333333333333,93.33333333333333,campbell,GOING FAST! Reserve Your New 2BD/1BA TODAY!!!,2095.0,2.0,4497912125.0,2014-05-31,http://sfbay.craigslist.org/sby/apa/4497912125.html,870.0,http://sfbay.craigslist.org/apa/index900.html,-121.952354,37.277417,2.4080459770114944,sfbay,725
37.761652+-122.390573,814.0,1800.0,13.566666666666666,30.0,potrero hill,Bright 2/1 DOGPATCH loft in converted historic building w parking,4400.0,2.0,4439579433.0,2014-05-16,http://sfbay.craigslist.org/sfc/apa/4439579433.html,1007.0,http://sfbay.craigslist.org/apa/index3500.html,-122.390573,37.76165200000001,4.369414101290963,sfbay,54
37.782239+-122.440963,851.0,1933.0,14.183333333333334,32.21666666666667,USF / panhandle,"Top floor corner studio hrdwd flrs, closets, lndry shrd, rtrofited",1895.0,NA,4518940711.0,2014-06-17,http://sfbay.craigslist.org/sfc/apa/4518940711.html,485.0,http://sfbay.craigslist.org/apa/,-122.44096299999998,37.782239,3.9072164948453607,sfbay,55
